ISO_Code,Country_Name,HALE_Percentile,DEA_Efficiency_Percentile,Fund_Input_Percentile,Physician_Coverage_Percentile,PM25_Burden_Control_Percentile,Tobacco_Burden_Control_Percentile,Clinical_Budget_Pct,Admin_Budget_Pct,PublicHealth_Pct,Env_Pct,Tobacco_Pct,CATE_Clinical,CATE_Admin,CATE_PublicHealth,CATE_Env,CATE_Tobacco
MDG,马达加斯加,15.31,62.76,0.51,12.24,28.06,82.65,50.21,8.34,18.2,23.08,0.17,-0.95,1.63,-0.04,0.21,-0.09
LUX,卢森堡公国,97.96,46.94,97.96,69.39,92.86,42.35,53.39,4.92,28.98,12.59,0.12,0.12,-3.92,0.34,0.09,-0.08
KGZ,吉尔吉斯斯坦,58.16,27.55,25.0,47.96,17.35,27.55,44.85,6.04,32.03,16.93,0.15,0.39,-0.08,0.13,-0.01,0.23
KAZ,哈萨克斯坦,40.05,15.82,53.06,81.63,46.43,27.04,43.15,5.43,31.99,19.3,0.13,0.51,8.69,0.27,-0.02,0.02
LBR,利比里亚,12.24,4.59,26.02,13.78,27.04,92.86,50.32,6.66,24.4,18.46,0.16,-1.2,1.24,-0.04,0.23,-0.09
KIR,基里巴斯,10.71,94.39,36.22,15.31,36.22,7.14,46.95,6.49,24.64,21.76,0.16,1.34,0.06,0.11,0.13,-0.01
MOZ,莫桑比克,2.55,13.78,10.71,13.27,42.35,95.41,47.13,6.52,24.33,21.86,0.16,-1.96,0.72,0.01,0.38,-0.17
MLT,马尔他,94.39,25.0,88.27,92.35,75.51,50.51,59.57,4.44,25.87,10.01,0.11,1.01,16.86,0.29,0.0,-0.16
WSM,萨摩亚,40.82,78.57,39.8,31.12,9.18,2.55,50.41,4.08,30.71,14.63,0.16,0.69,-0.28,0.03,0.19,0.02
ALB,阿尔巴尼亚,80.1,45.92,60.71,54.08,37.76,4.08,49.47,5.64,28.77,15.99,0.14,-0.25,-4.28,0.02,0.1,0.31
ARE,阿拉伯联合酋长国,83.16,48.47,83.67,69.9,11.73,51.02,43.62,5.14,30.62,20.5,0.12,0.5,-0.13,0.21,0.19,0.1
LBN,黎巴嫩,57.14,24.49,38.27,64.29,35.71,5.1,45.15,5.92,28.68,20.11,0.14,0.62,3.34,0.23,-0.1,0.31
MMR,缅甸,31.12,85.2,13.78,35.71,2.55,29.59,45.04,8.5,23.45,22.87,0.15,0.35,0.24,0.09,0.09,0.14
LAO,老挝人民民主共和国,34.18,62.76,4.08,23.98,3.06,17.86,44.1,7.29,28.22,20.25,0.15,0.68,-0.51,0.11,0.14,0.04
KNA,圣基茨和尼维斯联邦,51.79,17.86,73.47,70.92,88.78,76.53,50.32,4.93,28.09,16.54,0.12,-0.06,4.54,0.1,0.11,0.04
MNG,蒙古,38.27,3.06,45.41,86.22,22.96,18.88,47.7,4.67,29.43,18.06,0.14,-0.26,-2.3,0.01,0.07,0.26
MNE,黑山共和国,73.98,19.39,69.39,65.31,25.0,2.04,50.68,5.71,28.79,14.68,0.14,-0.22,2.52,0.02,0.19,0.05
KWT,科威特,84.69,49.49,77.04,59.18,9.69,17.35,43.65,5.37,31.99,18.86,0.13,0.94,2.22,0.33,0.02,-0.38
AND,安道尔共和国,51.79,21.94,87.76,95.41,84.18,30.1,49.17,5.22,28.0,17.49,0.13,0.88,5.58,0.26,0.16,0.07
MLI,马里,10.2,62.76,5.61,14.29,28.57,91.84,47.0,9.03,20.27,23.55,0.15,-0.51,0.87,0.01,0.23,0.25
MRT,毛里塔尼亚,33.67,62.76,24.49,20.92,20.92,79.59,50.79,6.85,21.06,21.14,0.16,1.06,1.2,0.17,0.07,0.25
ZAF,南非,6.12,81.12,57.65,36.73,75.0,61.22,41.51,5.61,29.76,22.98,0.13,0.05,-0.78,0.06,0.18,0.23
KHM,柬埔寨,34.69,62.76,27.04,17.09,4.08,10.71,45.64,7.22,27.19,19.8,0.14,0.56,-0.03,0.12,0.02,0.16
LTU,立陶宛,66.84,9.69,81.12,90.82,79.08,44.9,52.95,4.94,27.49,14.5,0.12,0.94,5.59,0.28,0.05,-0.27
MWI,马拉维,13.78,31.63,7.65,2.04,47.96,88.27,46.39,7.71,24.8,20.94,0.15,-0.88,1.83,-0.02,0.2,-0.12
ZMB,赞比亚,7.14,5.61,20.41,23.47,49.49,89.8,44.56,6.15,27.79,21.34,0.15,-2.06,0.57,0.02,0.11,0.19
VUT,瓦努阿图,27.04,62.76,29.59,10.71,1.53,28.57,48.36,7.99,25.71,17.78,0.16,0.29,0.08,0.14,0.15,0.09
MEX,墨西哥,38.78,38.27,63.78,62.76,61.22,66.84,45.04,5.04,28.37,21.43,0.12,-0.4,-4.33,0.1,0.12,0.33
LSO,莱索托,0.51,0.51,27.55,18.37,44.39,72.96,47.15,7.77,26.26,18.67,0.16,-2.47,3.56,-0.04,0.57,0.09
KEN,肯尼亚,26.02,32.14,22.45,21.94,44.9,87.76,44.87,4.91,25.72,24.35,0.15,0.99,0.49,0.09,0.18,0.11
AFG,阿富汗,3.06,62.76,14.29,22.96,8.16,76.02,46.76,10.04,20.13,22.91,0.15,-0.97,3.51,0.14,0.58,-0.13
ARG,阿根廷,69.9,10.71,74.49,95.92,71.94,52.04,46.56,5.08,28.9,19.34,0.12,-0.32,6.72,0.06,0.18,-0.0
LKA,斯里兰卡,80.61,62.76,28.57,41.33,15.31,45.41,44.42,4.67,30.2,20.56,0.14,0.28,-1.62,0.11,0.2,0.15
KOR,大韩民国,98.98,62.76,86.22,63.27,42.86,44.39,52.22,4.16,25.85,17.67,0.1,1.12,-3.25,0.29,-0.0,-0.22
MUS,毛里求斯,59.69,62.76,61.22,46.94,63.27,38.78,49.15,5.62,30.17,14.92,0.13,-0.16,7.65,0.07,0.13,0.04
AGO,安哥拉,11.22,30.1,18.88,19.39,62.24,86.73,46.44,8.87,21.14,23.4,0.15,0.64,-0.44,0.11,0.15,-0.02
MKD,北马其顿,60.46,18.88,61.73,68.37,23.98,6.12,49.28,5.73,28.51,16.34,0.14,-0.37,-4.39,0.06,0.1,0.29
LCA,圣卢西亚岛,41.84,34.69,62.24,87.76,85.2,65.31,50.44,4.74,31.79,12.89,0.14,-0.94,-4.37,0.14,0.33,0.4
LBY,利比亚,43.88,84.18,50.0,57.14,68.37,35.2,44.27,5.75,29.37,20.46,0.14,0.45,1.11,0.16,0.22,0.18
MHL,马绍尔群岛,51.79,20.41,66.84,27.04,56.12,21.94,43.14,8.33,28.44,19.95,0.14,0.55,-0.07,0.1,0.04,0.15
BTN,不丹,70.41,62.76,30.61,29.85,24.49,54.08,47.96,3.88,32.13,15.88,0.16,-0.33,-0.44,0.02,0.18,0.25
