ISO_Code,Country_Name,HALE_Percentile,DEA_Efficiency_Percentile,Fund_Input_Percentile,Physician_Coverage_Percentile,PM25_Burden_Control_Percentile,Tobacco_Burden_Control_Percentile,Clinical_Budget_Pct,Admin_Budget_Pct,PublicHealth_Pct,Env_Pct,Tobacco_Pct,CATE_Clinical,CATE_Admin,CATE_PublicHealth,CATE_Env,CATE_Tobacco
CAF,中非共和国,1.02,7.65,12.24,3.06,32.65,90.31,51.51,8.43,21.16,18.73,0.17,-0.58,1.66,0.06,0.17,-0.02
THA,泰国,77.04,94.9,42.86,29.08,50.0,34.18,40.09,5.44,31.67,22.68,0.13,0.42,-3.45,0.04,-0.02,0.34
CAN,加拿大,88.78,41.33,93.37,66.33,94.9,30.61,52.41,4.22,27.35,15.92,0.1,1.04,17.04,0.29,0.01,-0.14
BRN,文莱达鲁萨兰国,82.65,98.47,63.27,54.59,86.73,32.65,44.74,5.97,35.55,13.6,0.14,0.12,-1.63,0.24,0.18,0.07
TGO,多哥,18.37,93.88,15.31,4.08,26.02,89.29,49.5,6.68,21.43,22.22,0.16,-0.14,0.96,0.04,0.18,0.21
CHE,瑞士,96.94,92.35,99.49,91.33,85.71,47.45,66.87,3.1,19.05,10.91,0.07,0.11,-2.15,0.29,0.16,-0.03
TCD,乍得,5.1,99.49,9.18,4.59,31.12,94.39,51.14,8.37,15.07,25.26,0.17,-1.86,3.28,-0.02,0.86,-0.02
CHL,智利,84.18,37.76,78.57,73.98,59.69,58.67,49.87,4.74,28.21,17.07,0.11,-0.28,-0.5,0.07,0.02,0.06
TLS,东帝汶民主共和国,30.61,95.41,30.1,35.2,5.61,31.12,48.74,9.41,24.19,17.5,0.16,-0.48,1.47,0.08,0.06,0.17
CHN,中国,85.71,32.65,64.29,71.94,5.1,0.51,40.75,4.76,28.67,25.71,0.11,-0.61,-4.37,0.13,0.19,0.35
BRB,巴巴多斯,79.34,62.76,72.96,68.88,82.14,79.08,53.44,4.98,29.01,12.45,0.12,0.23,-3.46,0.04,0.01,0.33
CIV,科特廸亚,15.82,47.96,23.98,11.73,40.82,88.78,47.6,5.18,22.46,24.59,0.16,0.7,0.08,0.13,0.02,0.26
SYC,塞舌尔,69.39,16.33,64.8,98.98,89.8,29.08,45.43,5.42,30.86,18.16,0.13,-0.26,0.43,-0.01,0.16,0.11
CMR,喀麦隆,12.76,90.82,19.9,8.42,40.31,97.45,47.19,6.3,22.67,23.68,0.15,0.32,0.24,0.07,0.1,0.14
SUR,苏里南,32.65,62.76,40.82,45.41,65.31,53.06,46.49,6.18,32.77,14.41,0.15,1.56,-7.58,0.19,0.25,0.34
CPV,佛得角,61.73,44.39,39.29,33.67,39.29,78.06,48.6,3.83,32.6,14.81,0.15,0.63,-1.3,0.03,0.11,0.19
TTO,特立尼达拉岛和多巴哥,42.86,11.73,72.45,86.73,71.43,50.0,53.06,5.1,27.37,14.35,0.12,0.35,8.37,0.12,0.18,0.11
SVK,斯洛伐克,71.43,75.51,79.59,81.12,69.39,26.02,48.36,5.24,29.17,17.1,0.13,-0.32,2.86,0.31,0.18,-0.22
COM,科摩罗,29.59,22.96,25.51,25.51,21.94,78.57,49.1,9.14,25.22,16.38,0.16,-1.85,0.46,0.12,0.07,0.13
BOL,玻利维亚国,22.45,85.71,37.76,43.88,55.1,75.51,45.09,5.95,28.81,20.01,0.14,0.64,2.35,0.2,0.04,0.32
ETH,埃塞俄比亚,28.57,96.94,6.12,9.18,36.73,99.49,49.83,5.47,17.91,26.62,0.16,-0.48,1.48,0.04,0.18,0.11
SVN,斯洛文尼亚,87.76,28.57,85.71,75.0,77.04,48.47,48.76,5.25,31.28,14.58,0.13,1.18,1.16,0.36,-0.01,-0.35
COG,刚果,14.29,62.76,18.37,12.76,47.45,83.16,48.15,7.9,22.41,21.39,0.16,1.11,1.55,0.19,0.07,0.24
BRA,巴西,42.35,79.59,68.37,60.71,73.98,46.94,43.35,5.0,29.8,21.73,0.12,1.42,-7.98,0.18,0.24,0.34
SWE,瑞典,96.43,62.76,93.88,90.31,97.96,51.53,53.81,4.62,27.79,13.67,0.11,1.09,15.16,0.29,0.05,-0.11
TON,汤加,62.24,82.14,44.9,39.29,30.1,12.76,48.61,5.32,33.94,11.97,0.16,0.45,-0.2,0.07,0.09,0.08
COD,刚果民主共和国,8.67,21.43,2.04,15.82,35.2,91.33,47.73,6.59,20.7,24.83,0.16,-1.94,0.42,-0.04,0.35,-0.08
SWZ,斯威士兰,2.04,1.02,40.31,30.61,70.41,90.82,44.68,6.06,31.32,17.79,0.15,-0.36,3.36,0.03,0.2,0.15
COL,哥伦比亚,72.96,39.8,59.69,61.73,58.16,69.9,41.99,5.48,31.94,20.46,0.13,1.72,-7.67,0.2,0.29,0.36
JAM,牙买加,41.33,88.78,56.12,26.02,55.61,67.35,45.9,5.9,31.28,16.78,0.14,0.65,2.73,0.22,-0.08,0.3
RWA,卢旺达,27.55,93.37,10.2,5.87,30.61,71.94,46.26,3.85,27.73,22.0,0.15,1.26,0.21,0.02,0.14,-0.02
RUS,俄罗斯,36.73,4.08,67.86,96.43,78.57,23.98,44.3,5.05,29.07,21.46,0.12,-0.23,1.33,0.29,0.17,-0.24
GUY,圭亚那,19.9,77.04,54.59,46.43,72.45,65.82,46.98,5.92,31.01,15.94,0.14,1.27,-0.92,0.35,-0.01,-0.26
PAN,巴拿马,81.38,83.67,75.51,48.98,66.33,81.12,52.22,4.88,28.45,14.33,0.12,0.94,9.37,0.3,-0.05,-0.04
BDI,布隆迪,17.6,31.12,4.59,3.57,39.8,93.88,48.22,8.0,23.99,19.63,0.16,-0.54,0.92,0.06,0.19,0.04
HND,洪都拉斯,31.63,92.86,36.73,27.55,13.27,72.45,46.37,7.02,27.18,19.3,0.14,0.79,0.39,0.13,0.02,0.26
PAK,巴基斯坦,20.41,48.98,5.1,42.35,7.65,42.86,42.65,5.85,24.14,27.21,0.14,0.25,0.16,0.07,0.12,0.14
HRV,克罗地亚,82.14,62.76,75.0,84.18,57.14,15.31,45.72,5.71,31.04,17.39,0.14,1.01,7.39,0.24,0.02,-0.27
OMN,阿曼,56.63,62.76,62.76,56.63,22.45,60.71,44.14,5.92,31.02,18.78,0.14,-0.14,8.0,0.36,0.26,-0.24
HTI,海地,11.73,8.16,13.27,22.45,14.29,82.14,46.44,10.1,21.08,22.22,0.15,-0.38,0.1,-0.05,0.21,0.25
VCT,圣文森特和格林纳丁斯,48.47,37.24,49.49,37.76,81.63,71.43,48.08,4.88,34.71,12.18,0.15,0.49,-3.52,0.11,0.11,0.38
AZE,阿塞拜疆,66.33,87.76,41.33,72.45,23.47,8.16,47.89,5.79,28.05,18.14,0.14,0.23,-3.49,0.04,-0.0,0.33
HUN,匈牙利,70.92,16.84,73.98,76.53,63.78,23.47,46.84,5.2,29.6,18.24,0.12,0.8,5.26,0.26,0.05,-0.26
NZL,新西兰,91.33,35.2,90.82,79.59,93.37,48.98,51.17,4.79,30.08,13.85,0.11,1.29,0.97,0.35,-0.01,-0.31
IDN,印度尼西亚,35.2,62.76,28.06,28.57,43.88,12.24,42.04,4.53,27.43,25.87,0.14,-0.01,-1.96,0.1,0.12,0.25
NRU,瑙鲁共和国,51.79,1.53,83.16,42.86,93.88,7.65,45.04,6.18,27.91,20.72,0.15,0.56,0.82,0.18,0.13,0.15
UZB,乌兹别克斯坦,57.65,10.2,31.63,65.82,7.14,47.96,43.98,4.47,31.42,20.0,0.13,-0.13,3.09,0.02,0.11,0.14
IND,印度,25.51,41.84,21.94,33.16,3.57,35.71,40.36,4.36,27.12,28.03,0.13,0.51,-1.97,-0.04,0.13,0.21
NPL,尼泊尔,32.14,76.02,21.43,38.78,2.04,13.78,44.68,7.17,25.44,22.57,0.14,0.17,0.36,0.07,0.09,0.11
IRL,爱尔兰,91.84,42.35,96.43,82.65,92.35,38.27,53.89,4.68,27.28,14.04,0.11,0.12,-3.92,0.34,0.09,-0.08
NOR,挪威,97.45,30.61,98.98,94.9,97.45,59.69,56.78,4.21,26.43,12.48,0.1,0.13,-3.69,0.34,0.09,-0.09
AUS,澳大利亚,93.88,26.02,96.94,85.71,94.39,55.61,55.2,4.14,26.01,14.54,0.1,0.99,9.02,0.26,0.16,0.02
IRN,伊朗伊斯兰共和国,65.31,43.37,38.78,53.06,18.37,49.49,42.05,5.37,30.91,21.54,0.13,-0.13,-2.69,0.04,0.06,0.47
IRQ,伊拉克,37.24,39.29,43.37,39.8,12.24,13.27,45.78,5.59,25.96,22.54,0.13,0.2,-2.49,0.05,0.19,0.27
NLD,荷兰,90.82,35.71,94.9,83.16,88.27,32.14,51.55,4.5,27.11,16.74,0.11,0.41,-0.27,0.21,0.19,0.1
ISL,冰岛,98.47,87.24,97.45,89.8,98.47,39.29,57.9,4.47,28.38,9.15,0.11,0.4,-0.26,0.21,0.19,0.09
NIC,尼加拉瓜,68.37,62.76,34.18,32.14,27.55,70.92,45.49,7.14,29.98,17.26,0.14,0.94,-0.17,0.02,0.24,0.04
ATG,安提瓜和巴布达,78.06,28.06,66.33,67.86,91.33,67.86,44.62,5.46,31.47,18.32,0.13,-0.25,0.58,-0.01,0.17,0.11
ISR,以色列,95.41,40.82,90.31,82.14,51.53,57.65,52.27,4.48,27.0,16.14,0.11,1.09,1.3,0.36,0.01,-0.37
NGA,尼日利亚,14.8,23.98,16.33,25.0,34.18,100.0,43.98,7.07,20.83,27.98,0.14,0.78,-0.01,0.02,0.17,0.01
ITA,意大利,93.37,34.18,87.24,87.24,61.73,54.59,51.41,4.47,26.03,17.98,0.11,0.84,-6.24,0.28,-0.03,-0.24
NER,尼日尔,5.61,98.98,3.06,0.51,29.59,98.98,48.83,6.72,20.22,24.07,0.16,-0.49,2.18,-0.02,0.2,-0.16
AUT,奥地利,89.54,62.76,94.39,96.94,82.65,41.84,55.53,4.3,25.58,14.49,0.1,0.99,8.8,0.26,0.16,0.02
GTM,危地马拉,30.1,47.45,46.43,43.37,32.14,80.1,48.43,5.74,24.41,21.28,0.14,0.52,0.91,0.18,0.14,0.15
PER,秘鲁,54.59,42.86,47.96,52.04,59.18,81.63,44.94,5.72,28.06,21.15,0.14,-0.23,0.4,-0.02,0.12,0.08
GRL,格陵兰,51.79,19.9,51.28,50.77,100.0,1.53,45.21,5.74,29.67,19.24,0.14,0.43,-0.42,0.21,0.19,0.09
UGA,乌干达,21.43,79.08,8.16,14.8,48.98,97.96,46.3,5.09,25.41,23.05,0.15,-0.48,1.38,0.06,0.15,0.11
FJI,斐济,23.47,20.92,33.67,37.24,73.47,28.06,46.06,5.05,31.41,17.32,0.15,0.23,-2.55,0.06,0.2,0.26
FRA,法国,92.86,88.27,91.33,72.96,89.29,52.55,47.59,4.84,28.17,19.28,0.12,0.8,-6.39,0.28,-0.02,-0.24
ROU,罗马尼亚,63.27,14.8,68.88,80.1,57.65,31.63,45.62,5.35,29.39,19.52,0.13,0.81,5.26,0.25,0.05,-0.26
